trip_id,customer_id,trip_time,origin_zone,destination_zone,origin_x,origin_y,destination_x,destination_y,distance_km,duration_minute,rain,rush_hour,base_price,delta_price,final_price,customer_accept_prob,customer_accept
1,customer_155,2024-01-04 13:13:00,zone_09,zone_09,8.673,2.324,8.217,5.537,3.245,13.29,0,0,36115.0,4768.0,40883.0,0.8569,1
2,customer_188,2024-01-02 14:08:00,zone_02,zone_10,1.115,0.862,9.888,6.342,10.344,30.88,0,0,87504.0,3716.0,91220.0,0.3629,0
3,customer_034,2024-02-20 22:29:00,zone_08,zone_10,7.417,3.744,9.603,3.43,2.208,13.16,1,0,29828.0,11863.0,41691.0,0.7304,1
4,customer_043,2024-03-28 03:08:00,zone_07,zone_10,6.287,3.078,9.622,3.139,3.336,11.22,0,0,35626.0,-437.0,35189.0,0.7591,1
5,customer_024,2024-03-30 13:13:00,zone_01,zone_05,0.598,2.98,4.335,7.483,5.852,22.13,1,0,56177.0,8812.0,64989.0,0.7689,1
6,customer_178,2024-02-23 10:22:00,zone_03,zone_06,2.916,7.932,5.158,6.233,2.813,8.38,0,0,31068.0,2715.0,33783.0,0.6167,1
7,customer_091,2024-02-08 11:38:00,zone_03,zone_03,2.161,6.459,2.001,2.836,3.627,15.5,1,0,39512.0,3510.0,43022.0,0.8942,1
8,customer_091,2024-01-25 08:51:00,zone_05,zone_07,4.052,1.331,6.153,9.169,8.115,34.18,1,1,75780.0,22152.0,97932.0,0.8504,1
9,customer_081,2024-03-30 16:04:00,zone_02,zone_10,1.984,7.081,9.458,2.817,8.605,36.05,1,1,79655.0,20046.0,99701.0,0.6593,1
10,customer_002,2024-01-17 21:37:00,zone_03,zone_09,2.748,7.235,8.767,7.909,6.057,14.52,0,0,53602.0,5680.0,59282.0,0.5689,1
11,customer_070,2024-01-12 02:06:00,zone_03,zone_09,2.96,5.143,8.666,3.197,6.029,24.81,1,0,58579.0,7937.0,66516.0,0.7067,1
12,customer_028,2024-02-15 09:59:00,zone_06,zone_04,5.998,9.958,3.657,6.347,4.303,24.99,0,1,48313.0,17762.0,66075.0,0.6421,0
13,customer_047,2024-02-05 12:16:00,zone_02,zone_06,1.349,2.835,5.012,6.99,5.539,17.55,1,0,52009.0,10062.0,62071.0,0.8377,0
14,customer_092,2024-02-14 06:51:00,zone_03,zone_03,2.411,0.585,2.819,1.744,1.229,7.23,0,0,20989.0,-337.0,20652.0,0.92,1
15,customer_001,2024-03-22 17:46:00,zone_04,zone_06,3.171,0.288,5.539,3.8,4.236,18.62,0,1,44726.0,14903.0,59629.0,0.7811,1
16,customer_107,2024-01-25 22:19:00,zone_05,zone_04,4.491,3.205,3.034,1.276,2.417,9.21,0,0,29107.0,1227.0,30334.0,0.7329,1
17,customer_077,2024-03-19 03:19:00,zone_01,zone_09,0.381,4.979,8.087,5.107,7.707,17.88,0,0,65182.0,2885.0,68067.0,0.5602,1
18,customer_020,2024-01-20 16:19:00,zone_10,zone_05,9.992,0.782,4.644,9.094,9.884,38.13,1,1,88369.0,22194.0,110563.0,0.9221,1
19,customer_124,2024-01-30 04:28:00,zone_04,zone_08,3.004,5.658,7.004,5.962,4.012,12.05,0,0,40097.0,635.0,40732.0,0.8832,1
20,customer_137,2024-01-01 18:26:00,zone_03,zone_09,2.873,9.009,8.727,7.017,6.184,31.77,1,1,62989.0,28199.0,91188.0,0.8238,1
21,customer_011,2024-03-02 07:39:00,zone_06,zone_03,5.549,7.969,2.997,2.831,5.737,28.68,0,1,58762.0,7379.0,66141.0,0.6352,1
22,customer_087,2024-03-18 18:27:00,zone_09,zone_07,8.54,6.725,6.221,4.682,3.091,22.11,0,1,39601.0,12172.0,51773.0,0.8759,1
23,customer_104,2024-03-20 01:47:00,zone_05,zone_09,4.568,6.617,8.458,7.408,3.97,15.24,0,0,41440.0,3583.0,45023.0,0.7442,1
24,customer_062,2024-01-16 10:27:00,zone_03,zone_10,2.488,7.303,9.507,1.313,9.227,26.23,0,0,78477.0,5457.0,83934.0,0.6454,1
25,customer_120,2024-03-10 17:18:00,zone_06,zone_02,5.659,4.942,1.631,1.217,5.486,25.49,0,1,55661.0,9769.0,65430.0,0.4272,0
26,customer_095,2024-01-13 00:19:00,zone_05,zone_07,4.829,4.018,6.814,2.244,2.662,10.42,0,0,31182.0,-4640.0,26542.0,0.9517,1
27,customer_116,2024-02-26 17:43:00,zone_05,zone_05,4.231,3.067,4.352,2.368,0.709,10.41,0,1,19459.0,16503.0,35962.0,0.7272,1
28,customer_199,2024-03-04 12:08:00,zone_10,zone_03,9.839,0.996,2.855,9.624,11.1,33.04,0,0,93120.0,-1070.0,92050.0,0.6304,0
29,customer_058,2024-01-14 17:17:00,zone_10,zone_02,9.96,5.622,1.577,1.586,9.304,35.64,0,1,83644.0,12730.0,96374.0,0.9024,0
30,customer_158,2024-01-10 04:18:00,zone_06,zone_06,5.619,4.725,5.854,1.052,3.681,16.68,1,0,40426.0,9685.0,50111.0,0.7585,1
31,customer_057,2024-01-07 10:38:00,zone_01,zone_04,0.68,1.189,3.341,1.377,2.668,5.11,0,0,28563.0,163.0,28726.0,0.7843,0
32,customer_031,2024-03-04 13:07:00,zone_06,zone_07,5.669,2.683,6.679,2.029,1.203,6.91,0,0,20673.0,4445.0,25118.0,0.7749,1
