trip_id,rain,rush_hour,base_price,delta_price,price,driver_accept_prob,driver_accept
1,1,1,33186.0,10151.0,43337.0,0.453,1
2,0,0,46102.0,700.0,46802.0,0.5444,1
3,1,0,36836.0,9481.0,46317.0,0.5262,1
4,0,1,27983.0,7258.0,35241.0,0.2973,0
5,0,0,39556.0,4875.0,44431.0,0.5003,0
6,1,1,53260.0,12319.0,65579.0,0.7624,1
7,1,0,45916.0,5114.0,51030.0,0.6336,1
8,1,0,59151.0,5128.0,64279.0,0.7921,1
9,0,0,43506.0,4959.0,48465.0,0.5466,1
10,0,1,62806.0,9786.0,72592.0,0.8685,1
11,0,0,43509.0,700.0,44209.0,0.4707,0
12,1,1,42191.0,11735.0,53926.0,0.5922,1
13,0,1,31125.0,7094.0,38219.0,0.3428,0
14,1,1,51440.0,9043.0,60483.0,0.6656,1
15,0,0,37732.0,2945.0,40677.0,0.47,0
16,0,1,36500.0,5006.0,41506.0,0.4653,1
17,0,1,52890.0,9905.0,62795.0,0.8513,1
18,0,0,51845.0,1143.0,52988.0,0.5969,0
19,1,0,51622.0,5150.0,56772.0,0.7063,1
20,0,0,38921.0,2378.0,41299.0,0.2941,0
21,1,0,41567.0,4274.0,45841.0,0.5266,0
22,0,1,41491.0,9974.0,51465.0,0.4806,1
23,1,0,48651.0,6839.0,55490.0,0.571,0
24,1,0,55205.0,9051.0,64256.0,0.7922,1
25,1,0,45129.0,5728.0,50857.0,0.5119,1
26,0,0,58787.0,1567.0,60354.0,0.7107,1
27,0,0,49626.0,5489.0,55115.0,0.6429,1
28,0,1,40004.0,6317.0,46321.0,0.548,0
29,0,0,49044.0,2197.0,51241.0,0.5406,1
30,0,0,56500.0,3724.0,60224.0,0.7503,1
31,1,1,58985.0,8696.0,67681.0,0.7828,1
32,1,0,52089.0,7209.0,59298.0,0.7527,0
33,0,0,42218.0,3492.0,45710.0,0.5701,1
34,0,0,40158.0,4658.0,44816.0,0.3567,1
35,0,1,46897.0,8813.0,55710.0,0.7294,1
